,type,date,time,duration,distance,origin,destination,total_earning,base_fare,customer_fare,paid_to_driver,paid_to_uber,datetime,duration_dt,distance_km,origin_lat_lng,destination_lat_lng
1,UberX,2023-11-11,17:20:00,0 sec,---,"Rua Luís Correia de Melo, Santo Amaro - São Paulo - SP, 04726-200, BR","Rua Luís Correia de Melo, Santo Amaro - São Paulo - SP, 04726-200, BR",4.22,4.22,5.25,4.22,1.03,2023-11-11 17:20:00,0 days,0.0,"[-23.6333821, -46.7150474]","[-23.6333821, -46.7150474]"
34,UberX,2023-11-09,16:08:00,0 sec,---,"Rua Berlioz, Alto de Pinheiros - São Paulo - SP, 05467-000, BR","Rua Berlioz, Alto de Pinheiros - São Paulo - SP, 05467-000, BR",4.22,4.22,5.25,4.22,1.03,2023-11-09 16:08:00,0 days,0.0,"[-23.5426204, -46.7142529]","[-23.5426204, -46.7142529]"
55,UberX,2023-11-07,13:16:00,0 sec,---,"Rua Vale Verde, Cachoeirinha - São Paulo - SP, 02473-060, BR","Rua Vale Verde, Cachoeirinha - São Paulo - SP, 02473-060, BR",4.22,4.22,5.25,4.22,1.03,2023-11-07 13:16:00,0 days,0.0,"[-23.4772701, -46.6511585]","[-23.4772701, -46.6511585]"
64,UberX,2023-11-19,22:59:00,0 sec,---,"Avenida Sabiá, Moema - Sao Paulo - SP, 04515-001, BR","Avenida Sabiá, Moema - Sao Paulo - SP, 04515-001, BR",4.22,4.22,5.25,4.22,1.03,2023-11-19 22:59:00,0 days,0.0,"[-23.6004324, -46.6654618]","[-23.6004324, -46.6654618]"
78,Comfort,2023-11-18,23:35:00,0 sec,---,"Rua Casa do Ator, Itaim Bibi - São Paulo - SP, 04546-003, BR","Rua Casa do Ator, Itaim Bibi - São Paulo - SP, 04546-003, BR",4.64,4.64,6.3,4.64,1.66,2023-11-18 23:35:00,0 days,0.0,"[-23.5983317, -46.6801365]","[-23.5983317, -46.6801365]"
171,UberX,2023-11-25,16:00:00,0 sec,---,"Rua Pablo Picasso, Barra Funda - São Paulo - SP, 01139-040, BR","Rua Pablo Picasso, Barra Funda - São Paulo - SP, 01139-040, BR",4.22,4.22,5.25,4.22,1.03,2023-11-25 16:00:00,0 days,0.0,"[-23.5193059, -46.6832625]","[-23.5193059, -46.6832625]"
190,UberX,2023-11-24,20:29:00,0 sec,---,"Rua Volta Redonda, Campo Belo - São Paulo - SP, 04608-011, BR","Rua Volta Redonda, Campo Belo - São Paulo - SP, 04608-011, BR",4.22,4.22,5.25,4.22,1.03,2023-11-24 20:29:00,0 days,0.0,"[-23.6265204, -46.6732251]","[-23.6265204, -46.6732251]"
191,Comfort,2023-11-24,20:19:00,0 sec,---,"Rua João de Sousa Dias, Campo Belo - São Paulo - SP, 04618-908, BR","Rua João de Sousa Dias, Campo Belo - São Paulo - SP, 04618-908, BR",4.64,4.64,6.3,4.64,1.66,2023-11-24 20:19:00,0 days,0.0,"[-23.6224802, -46.6731147]","[-23.6224802, -46.6731147]"
195,Flash,2023-11-24,14:57:00,0 sec,---,"Av. Magalhães de Castro, Morumbi - São Paulo - SP, 05676-120, BR","Av. Magalhães de Castro, Morumbi - São Paulo - SP, 05676-120, BR",5.06,5.06,6.0,5.06,0.94,2023-11-24 14:57:00,0 days,0.0,"[-23.597441, -46.697262]","[-23.597441, -46.697262]"
275,Comfort,2023-12-01,18:45:00,0 sec,---,"Rua Dionísio da Costa, Vila Mariana - Sao Paulo - SP, 04117-110, BR","Rua Dionísio da Costa, Vila Mariana - Sao Paulo - SP, 04117-110, BR",4.64,4.64,6.3,4.64,1.66,2023-12-01 18:45:00,0 days,0.0,"[-23.5896808, -46.6258452]","[-23.5896808, -46.6258452]"
400,Comfort,2023-12-15,23:38:00,0 sec,---,"Avenida Francisco Matarazzo, Barra Funda - São Paulo - SP, 05001-100, BR","Avenida Francisco Matarazzo, Barra Funda - São Paulo - SP, 05001-100, BR",4.64,4.64,6.3,4.64,1.66,2023-12-15 23:38:00,0 days,0.0,"[-23.5268109, -46.6731386]","[-23.5268109, -46.6731386]"
401,Comfort,2023-12-15,23:30:00,0 sec,---,"Av. Francisco Matarazzo, Agua Branca - São Paulo - SP, 05001-000, BR","Av. Francisco Matarazzo, Agua Branca - São Paulo - SP, 05001-000, BR",3.48,3.48,4.73,3.48,1.25,2023-12-15 23:30:00,0 days,0.0,"[-23.5308861, -46.665509]","[-23.5308861, -46.665509]"
441,Comfort,2023-12-12,21:51:00,0 sec,---,"Avenida Doutor Antônio Maria Laet, Tucuruvi - São Paulo - SP, 02240-000, BR","Avenida Doutor Antônio Maria Laet, Tucuruvi - São Paulo - SP, 02240-000, BR",4.64,4.64,6.3,4.64,1.66,2023-12-12 21:51:00,0 days,0.0,"[-23.479406, -46.603416]","[-23.479406, -46.603416]"
536,Comfort,2023-12-21,15:15:00,0 sec,---,"Rua Desembargador Ferreira França, Alto de Pinheiros - São Paulo - SP, 05446-050, BR","Rua Desembargador Ferreira França, Alto de Pinheiros - São Paulo - SP, 05446-050, BR",4.64,4.64,6.3,4.64,1.66,2023-12-21 15:15:00,0 days,0.0,"[-23.5537933, -46.7019476]","[-23.5537933, -46.7019476]"
540,UberX,2023-12-21,10:44:00,0 sec,---,"Av. Tiradentes, Luz - São Paulo - SP, 01101-010, BR","Av. Tiradentes, Luz - São Paulo - SP, 01101-010, BR",4.22,4.22,5.25,4.22,1.03,2023-12-21 10:44:00,0 days,0.0,"[-23.5290926, -46.631703]","[-23.5290926, -46.631703]"
544,UberX,2023-12-20,22:53:00,0 sec,---,"Rua Coronel Quartim, Tatuapé - São Paulo - SP, 03077-050, BR","Rua Coronel Quartim, Tatuapé - São Paulo - SP, 03077-050, BR",4.22,4.22,5.25,4.22,1.03,2023-12-20 22:53:00,0 days,0.0,"[-23.5335794, -46.5807391]","[-23.5335794, -46.5807391]"
642,Comfort,2023-12-25,22:04:00,0 sec,---,"Rua Desembargador Mamede, Pinheiros - São Paulo - SP, 01444-030, BR","Rua Desembargador Mamede, Pinheiros - São Paulo - SP, 01444-030, BR",4.64,4.64,6.3,4.64,1.66,2023-12-25 22:04:00,0 days,0.0,"[-23.5712017, -46.6841844]","[-23.5712017, -46.6841844]"
829,Black,2024-01-20,02:10:00,0 sec,---,"R. Quintana, Brooklin Novo - São Paulo - SP, 04569-903, BR","R. Quintana, Brooklin Novo - São Paulo - SP, 04569-903, BR",4.12,4.12,5.25,4.12,1.13,2024-01-20 02:10:00,0 days,0.0,"[-23.6042058, -46.689836]","[-23.6042058, -46.689836]"
841,Black,2024-01-19,17:21:00,0 sec,---,"Rua Pedroso Alvarenga, Itaim Bibi - Sao Paulo - SP, 04531-002, BR","Rua Pedroso Alvarenga, Itaim Bibi - Sao Paulo - SP, 04531-002, BR",4.12,4.12,5.25,4.12,1.13,2024-01-19 17:21:00,0 days,0.0,"[-23.5817588, -46.6782307]","[-23.5817588, -46.6782307]"
902,Black,2024-01-27,22:33:00,0 sec,---,"Av. Horácio Láfer, Itaim Bibi - São Paulo - SP, 04538-083, BR","Av. Horácio Láfer, Itaim Bibi - São Paulo - SP, 04538-083, BR",4.12,4.12,5.25,4.12,1.13,2024-01-27 22:33:00,0 days,0.0,"[-23.588643, -46.6864591]","[-23.588643, -46.6864591]"
968,Black,2024-01-23,07:45:00,0 sec,---,"Avenida Nove de Julho, República - São Paulo - SP, 01312-000, BR","Avenida Nove de Julho, República - São Paulo - SP, 01312-000, BR",4.12,4.12,5.25,4.12,1.13,2024-01-23 07:45:00,0 days,0.0,"[-23.5665948, -46.6587092]","[-23.5665948, -46.6587092]"
983,Black,2024-02-03,03:15:00,0 sec,---,"Rua Tucumã, Pinheiros - São Paulo - SP, 01455-010, BR","Rua Tucumã, Pinheiros - São Paulo - SP, 01455-010, BR",4.12,4.12,5.25,4.12,1.13,2024-02-03 03:15:00,0 days,0.0,"[-23.5810154, -46.6881645]","[-23.5810154, -46.6881645]"
1062,Black,2024-02-08,09:41:00,0 sec,---,"Rua Bandeira Paulista, Itaim Bibi - Sao Paulo - SP, 04532-000, BR","Rua Bandeira Paulista, Itaim Bibi - Sao Paulo - SP, 04532-000, BR",4.12,4.12,5.25,4.12,1.13,2024-02-08 09:41:00,0 days,0.0,"[-23.5820651, -46.6764683]","[-23.5820651, -46.6764683]"
1085,Black,2024-02-06,15:23:00,0 sec,---,"Rua Inajaroba, Moema - São Paulo - SP, 04511-040, BR","Rua Inajaroba, Moema - São Paulo - SP, 04511-040, BR",4.12,4.12,5.25,4.12,1.13,2024-02-06 15:23:00,0 days,0.0,"[-23.5967811, -46.6657548]","[-23.5967811, -46.6657548]"
1098,Comfort,2024-02-05,15:33:00,0 sec,---,"Rua São Vicente de Paula, Santa Cecília - São Paulo - SP, 01229-010, BR","Rua São Vicente de Paula, Santa Cecília - São Paulo - SP, 01229-010, BR",4.64,4.64,6.3,4.64,1.66,2024-02-05 15:33:00,0 days,0.0,"[-23.537715, -46.6561531]","[-23.537715, -46.6561531]"
1192,Black,2024-03-02,00:06:00,0 sec,---,"Rua Paraguaçu, Perdizes - São Paulo - SP, 05006-010, BR","Rua Paraguaçu, Perdizes - São Paulo - SP, 05006-010, BR",4.12,4.12,5.25,4.12,1.13,2024-03-02 00:06:00,0 days,0.0,"[-23.5355136, -46.6646465]","[-23.5355136, -46.6646465]"
1234,Comfort,2024-02-27,11:36:00,0 sec,---,"Rua Doutor Gabriel da Veiga, Casa Verde - São Paulo - SP, 02510-070, BR","Rua Doutor Gabriel da Veiga, Casa Verde - São Paulo - SP, 02510-070, BR",4.64,4.64,6.3,4.64,1.66,2024-02-27 11:36:00,0 days,0.0,"[-23.5130961, -46.6512705]","[-23.5130961, -46.6512705]"
1263,Black,2024-03-09,00:00:00,0 sec,---,"R. Treze de Maio Piso Treze de Maio, Bela Vista - São Paulo - SP, 01327-001, BR","R. Treze de Maio Piso Treze de Maio, Bela Vista - São Paulo - SP, 01327-001, BR",4.12,4.12,5.25,4.12,1.13,2024-03-09 00:00:00,0 days,0.0,"[-23.5663897, -46.6448453]","[-23.5663897, -46.6448453]"
1280,Black,2024-03-08,16:17:00,0 sec,---,"Av. Brigadeiro Faria Lima, Itaim Bibi - São Paulo - SP, 04538-133, BR","Av. Brigadeiro Faria Lima, Itaim Bibi - São Paulo - SP, 04538-133, BR",4.12,4.12,5.25,4.12,1.13,2024-03-08 16:17:00,0 days,0.0,"[-23.587632, -46.6822214]","[-23.587632, -46.6822214]"
1333,Black,2024-03-15,17:27:00,0 sec,---,"Rua Volta Redonda, Campo Belo - São Paulo - SP, 04608-011, BR","Rua Volta Redonda, Campo Belo - São Paulo - SP, 04608-011, BR",4.12,4.12,5.25,4.12,1.13,2024-03-15 17:27:00,0 days,0.0,"[-23.6265204, -46.6732251]","[-23.6265204, -46.6732251]"
1404,Black,2024-03-19,14:44:00,0 sec,---,"Avenida Nove de Julho, Bela Vista - São Paulo - SP, 01312-000, BR","Avenida Nove de Julho, Bela Vista - São Paulo - SP, 01312-000, BR",4.12,4.12,5.25,4.12,1.13,2024-03-19 14:44:00,0 days,0.0,"[-23.5510274, -46.6451093]","[-23.5510274, -46.6451093]"
1448,Black,2024-03-26,22:58:00,0 sec,---,"R. Treze de Maio, Bela Vista - São Paulo - SP, 01327-000, BR","R. Treze de Maio, Bela Vista - São Paulo - SP, 01327-000, BR",4.12,4.12,5.25,4.12,1.13,2024-03-26 22:58:00,0 days,0.0,"[-23.5578361, -46.6465016]","[-23.5578361, -46.6465016]"
1553,Black,2024-04-11,14:02:00,0 sec,---,"Rua Copacabana, Santana - São Paulo - SP, 02461-000, BR","Rua Copacabana, Santana - São Paulo - SP, 02461-000, BR",4.2,4.2,5.25,4.2,1.05,2024-04-11 14:02:00,0 days,0.0,"[-23.4936282, -46.6382614]","[-23.4936282, -46.6382614]"
1622,Black,2024-04-19,22:21:00,0 sec,---,"Avenida Roque Petroni Júnior, Santo Amaro - São Paulo - SP, 04707-910, BR","Avenida Roque Petroni Júnior, Santo Amaro - São Paulo - SP, 04707-910, BR",4.2,4.2,5.25,4.2,1.05,2024-04-19 22:21:00,0 days,0.0,"[-23.6251021, -46.6930767]","[-23.6251021, -46.6930767]"
1623,Black,2024-04-19,22:14:00,0 sec,---,"Agf Shopping Morumbi Av. Roque Petroni Junior, Vila Gertrudes - São Paulo - SP, 04707-900, BR","Agf Shopping Morumbi Av. Roque Petroni Junior, Vila Gertrudes - São Paulo - SP, 04707-900, BR",4.2,4.2,5.25,4.2,1.05,2024-04-19 22:14:00,0 days,0.0,"[-23.6245598, -46.6942006]","[-23.6245598, -46.6942006]"
1724,Black,2024-05-02,23:10:00,0 sec,---,"R. Princesa Isabel, Campo Belo - São Paulo - SP, 04601-002, BR","R. Princesa Isabel, Campo Belo - São Paulo - SP, 04601-002, BR",4.06,4.06,5.25,4.06,1.19,2024-05-02 23:10:00,0 days,0.0,"[-23.617655, -46.678505]","[-23.617655, -46.678505]"
1779,Black,2024-05-11,21:30:00,0 sec,---,"Rua Rodrigo Cláudio, Liberdade - São Paulo - SP, 01532-020, BR","Rua Rodrigo Cláudio, Liberdade - São Paulo - SP, 01532-020, BR",4.06,4.06,5.25,4.06,1.19,2024-05-11 21:30:00,0 days,0.0,"[-23.5717043, -46.6355881]","[-23.5717043, -46.6355881]"
1798,Comfort,2024-05-10,00:02:00,0 sec,---,"Av. Das Nações Unidas, Brooklin Novo - São Paulo - SP, 04578-903, BR","Av. Das Nações Unidas, Brooklin Novo - São Paulo - SP, 04578-903, BR",4.58,4.58,6.3,4.58,1.72,2024-05-10 00:02:00,0 days,0.0,"[-23.6074648, -46.6972465]","[-23.6074648, -46.6972465]"
1814,Black,2024-05-08,10:39:00,0 sec,---,"Avenida Pacaembu, Santa Cecília - São Paulo - SP, 01155-000, BR","Avenida Pacaembu, Santa Cecília - São Paulo - SP, 01155-000, BR",4.06,4.06,5.25,4.06,1.19,2024-05-08 10:39:00,0 days,0.0,"[-23.5300351, -46.6610315]","[-23.5300351, -46.6610315]"
1852,Comfort,2024-05-14,11:29:00,0 sec,---,"Avenida Angélica, Consolação - São Paulo - SP, 01227-200, BR","Avenida Angélica, Consolação - São Paulo - SP, 01227-200, BR",4.58,4.58,6.3,4.58,1.72,2024-05-14 11:29:00,0 days,0.0,"[-23.5524156, -46.6610336]","[-23.5524156, -46.6610336]"
1883,Black,2024-05-24,13:25:00,0 sec,---,"Alameda Jaú, Jardim Paulista - São Paulo - SP, 01423, BR","Alameda Jaú, Jardim Paulista - São Paulo - SP, 01423, BR",4.06,4.06,5.25,4.06,1.19,2024-05-24 13:25:00,0 days,0.0,"[-23.5647351, -46.6565081]","[-23.5647351, -46.6565081]"
1939,Black,2024-05-29,15:02:00,0 sec,---,"Avenida Francisco Matarazzo, Barra Funda - São Paulo - SP, 05001-200, BR","Avenida Francisco Matarazzo, Barra Funda - São Paulo - SP, 05001-200, BR",4.99,4.99,6.46,4.99,1.47,2024-05-29 15:02:00,0 days,0.0,"[-23.5261698, -46.6754905]","[-23.5261698, -46.6754905]"
1980,VIP,2024-06-03,17:47:00,0 sec,---,"Av. Marques De Sao Vicente, Barra Funda - São Paulo - SP, 01139-000, BR","Av. Marques De Sao Vicente, Barra Funda - São Paulo - SP, 01139-000, BR",4.69,4.69,6.0,4.69,1.31,2024-06-03 17:47:00,0 days,0.0,"[-23.5219376, -46.6634704]","[-23.5219376, -46.6634704]"
2069,Black,2024-07-13,14:57:00,0 sec,---,"Rua da Cantareira, Sé - Sao Paulo - SP, 01024-100, BR","Rua da Cantareira, Sé - Sao Paulo - SP, 01024-100, BR",4.06,4.06,5.25,4.06,1.19,2024-07-13 14:57:00,0 days,0.0,"[-23.5402833, -46.6294363]","[-23.5402833, -46.6294363]"
2126,Comfort,2024-07-09,19:36:00,0 sec,---,"Bom Retiro - São Paulo - SP, 01142, BR","Bom Retiro - São Paulo - SP, 01142, BR",4.58,4.58,6.3,4.58,1.72,2024-07-09 19:36:00,0 days,0.0,"[-23.5193729, -46.6234786]","[-23.5193729, -46.6234786]"
2187,Comfort,2024-07-15,15:22:00,0 sec,---,"Rua Domingos Fasolari, Casa Verde - São Paulo - SP, 02513-010, BR","Rua Domingos Fasolari, Casa Verde - São Paulo - SP, 02513-010, BR",4.58,4.58,6.3,4.58,1.72,2024-07-15 15:22:00,0 days,0.0,"[-23.5121323, -46.6550744]","[-23.5121323, -46.6550744]"
2212,Black,2024-07-26,14:46:00,0 sec,---,"Avenida Pacaembu, São Paulo - São Paulo - SP, 01234-000, BR","Avenida Pacaembu, São Paulo - São Paulo - SP, 01234-000, BR",4.06,4.06,5.25,4.06,1.19,2024-07-26 14:46:00,0 days,0.0,"[-23.5353852, -46.6625778]","[-23.5353852, -46.6625778]"
2219,Business Comfort,2024-07-26,06:38:00,0 sec,---,"Rua Sousa Ramos, Vila Mariana - São Paulo - SP, 04120-080, BR","Rua Sousa Ramos, Vila Mariana - São Paulo - SP, 04120-080, BR",4.58,4.58,6.3,4.58,1.72,2024-07-26 06:38:00,0 days,0.0,"[-23.5951885, -46.6314559]","[-23.5951885, -46.6314559]"
2232,VIP,2024-07-23,19:43:00,0 sec,---,"Av. Brigadeiro Faria Lima, 1485, São Paulo - SP, 05422, BR","Av. Brigadeiro Faria Lima, 1485, São Paulo - SP, 05422, BR",5.93,5.93,7.56,5.93,1.63,2024-07-23 19:43:00,0 days,0.0,"[-23.5702733, -46.6900854]","[-23.5702733, -46.6900854]"
2339,Black,2024-08-06,16:22:00,0 sec,---,"Rua dos Três Mosqueteiros, Santana - São Paulo - SP, 02013-060, BR","Rua dos Três Mosqueteiros, Santana - São Paulo - SP, 02013-060, BR",6.14,6.14,7.96,6.14,1.82,2024-08-06 16:22:00,0 days,0.0,"[-23.5030632, -46.6354943]","[-23.5030632, -46.6354943]"
2440,Black,2024-08-20,08:59:00,0 sec,---,"Rua Padre João Manuel, Jardim Paulista - São Paulo - SP, 01411-000, BR","Rua Padre João Manuel, Jardim Paulista - São Paulo - SP, 01411-000, BR",4.06,4.06,5.25,4.06,1.19,2024-08-20 08:59:00,0 days,0.0,"[-23.5631342, -46.6635465]","[-23.5631342, -46.6635465]"
2612,UberX,2024-09-22,20:04:00,0 sec,---,"Avenida Brigadeiro Luís Antônio, Sao Paulo - Sao Paulo - SP, 01401-000, BR","Avenida Brigadeiro Luís Antônio, Sao Paulo - Sao Paulo - SP, 01401-000, BR",1.89,1.89,2.42,1.89,0.53,2024-09-22 20:04:00,0 days,0.0,"[-23.5709555, -46.6523499]","[-23.5709555, -46.6523499]"
2717,Black,2024-09-23,11:24:00,0 sec,---,"Rua Doutor Penaforte Mendes, Bela Vista - São Paulo - SP, 01308-010, BR","Rua Doutor Penaforte Mendes, Bela Vista - São Paulo - SP, 01308-010, BR",4.06,4.06,5.25,4.06,1.19,2024-09-23 11:24:00,0 days,0.0,"[-23.5545766, -46.651721]","[-23.5545766, -46.651721]"
2777,Black,2024-10-13,18:28:00,0 sec,---,"Av. Prof. Luiz Ignácio Anhaia Mello, Vila Prudente - São Paulo - SP, 03155-000, BR","Av. Prof. Luiz Ignácio Anhaia Mello, Vila Prudente - São Paulo - SP, 03155-000, BR",8.9,8.9,11.52,8.9,2.62,2024-10-13 18:28:00,0 days,0.0,"[-23.5850705, -46.581937]","[-23.5850705, -46.581937]"
2821,UberX,2024-10-20,15:51:00,0 sec,---,"Terminal 2, Aeroporto Internacional de São Paulo (GRU), Cumbica - Guarulhos - SP, 07190-100, BR","Terminal 2, Aeroporto Internacional de São Paulo (GRU), Cumbica - Guarulhos - SP, 07190-100, BR",6.48,6.48,7.35,6.48,0.87,2024-10-20 15:51:00,0 days,0.0,"[-23.4262553, -46.4816624]","[-23.4262553, -46.4816624]"
2846,UberX,2024-10-17,12:05:00,0 sec,---,"Avenida Honorio Alvares Penteado, Residencial Tamboré 11 - Santana de Parnaíba - SP, 06543-325, BR","Avenida Honorio Alvares Penteado, Residencial Tamboré 11 - Santana de Parnaíba - SP, 06543-325, BR",4.21,4.21,5.25,4.21,1.04,2024-10-17 12:05:00,0 days,0.0,"[-23.4581527, -46.8357124]","[-23.4581527, -46.8357124]"
2880,Black,2024-10-25,16:01:00,0 sec,---,"Av. Pedro Álvares Cabral, Parque Ibirapuera - São Paulo - SP, 04094-050, BR","Av. Pedro Álvares Cabral, Parque Ibirapuera - São Paulo - SP, 04094-050, BR",6.74,6.74,8.44,6.74,1.7,2024-10-25 16:01:00,0 days,0.0,"[-23.585997, -46.6549198]","[-23.585997, -46.6549198]"
2907,Comfort,2024-10-22,07:46:00,0 sec,---,"Rua Afonso Braz, Moema - São Paulo - SP, 04511-001, BR","Rua Afonso Braz, Moema - São Paulo - SP, 04511-001, BR",4.69,4.69,6.3,4.69,1.61,2024-10-22 07:46:00,0 days,0.0,"[-23.5949636, -46.6728172]","[-23.5949636, -46.6728172]"
2923,UberX,2024-11-01,18:15:00,0 sec,---,"Rua Cruzeiro, Baeta Neves - São Bernardo do Campo - SP, 09760-460, BR","Rua Cruzeiro, Baeta Neves - São Bernardo do Campo - SP, 09760-460, BR",4.5,4.5,5.62,4.5,1.12,2024-11-01 18:15:00,0 days,0.0,"[-23.6961696, -46.5392422]","[-23.6961696, -46.5392422]"
3058,Black,2024-11-22,15:15:00,0 sec,---,"Rua das Palmeiras, Santa Cecília - São Paulo - SP, 01226-011, BR","Rua das Palmeiras, Santa Cecília - São Paulo - SP, 01226-011, BR",4.19,4.19,5.25,4.19,1.06,2024-11-22 15:15:00,0 days,0.0,"[-23.5373143, -46.6512558]","[-23.5373143, -46.6512558]"
3205,Black,2024-12-05,08:16:00,0 sec,---,"Rua Bento de Andrade, Moema - Sao Paulo - SP, 04503-001, BR","Rua Bento de Andrade, Moema - Sao Paulo - SP, 04503-001, BR",4.65,4.65,5.87,4.65,1.22,2024-12-05 08:16:00,0 days,0.0,"[-23.5839356, -46.667835]","[-23.5839356, -46.667835]"
3235,Comfort,2024-12-13,18:17:00,0 sec,---,"Pç. Cmte. Linneu Gomes, Vila Congonhas - São Paulo - SP, 04626, BR","Pç. Cmte. Linneu Gomes, Vila Congonhas - São Paulo - SP, 04626, BR",5.17,5.17,6.3,5.17,1.13,2024-12-13 18:17:00,0 days,0.0,"[-23.6272167, -46.6596712]","[-23.6272167, -46.6596712]"
3305,Comfort,2024-12-20,13:10:00,0 sec,---,"Rua Artur De Azevedo, Cerqueira César - São Paulo - SP, 05404-011, BR","Rua Artur De Azevedo, Cerqueira César - São Paulo - SP, 05404-011, BR",4.65,4.65,6.3,4.65,1.65,2024-12-20 13:10:00,0 days,0.0,"[-23.5596937, -46.6768226]","[-23.5596937, -46.6768226]"
3442,Black,2025-01-16,16:05:00,0 sec,---,"R. Padre João Manuel, Cerqueira César - São Paulo - SP, 01411-001, BR","R. Padre João Manuel, Cerqueira César - São Paulo - SP, 01411-001, BR",6.03,6.03,7.83,6.03,1.8,2025-01-16 16:05:00,0 days,0.0,"[-23.5631342, -46.6635465]","[-23.5631342, -46.6635465]"
3454,VIP,2025-01-13,18:51:00,0 sec,---,"R. Professor Atilio Innocenti, Vila Nova Conceição - São Paulo - SP, 04538-000, BR","R. Professor Atilio Innocenti, Vila Nova Conceição - São Paulo - SP, 04538-000, BR",4.91,4.91,6.35,4.91,1.44,2025-01-13 18:51:00,0 days,0.0,"[-23.5890286, -46.680868]","[-23.5890286, -46.680868]"
